2024-07-02T21:38:11.009049 OTBM2JSON- Current byte: 83, index: 4
2024-07-02T21:38:11.009081 OTBM2JSON- Current byte: 97, index: 5
2024-07-02T21:38:11.009113 OTBM2JSON- Current byte: 118, index: 6
2024-07-02T21:38:11.009144 OTBM2JSON- Current byte: 101, index: 7
2024-07-02T21:38:11.009176 OTBM2JSON- Current byte: 100, index: 8
2024-07-02T21:38:11.009208 OTBM2JSON- Current byte: 32, index: 9
2024-07-02T21:38:11.009240 OTBM2JSON- Current byte: 119, index: 10
2024-07-02T21:38:11.009272 OTBM2JSON- Current byte: 105, index: 11
2024-07-02T21:38:11.009304 OTBM2JSON- Current byte: 116, index: 12
2024-07-02T21:38:11.009335 OTBM2JSON- Current byte: 104, index: 13
2024-07-02T21:38:11.009367 OTBM2JSON- Current byte: 32, index: 14
2024-07-02T21:38:11.009399 OTBM2JSON- Current byte: 82, index: 15
2024-07-02T21:38:11.009431 OTBM2JSON- Current byte: 101, index: 16
2024-07-02T21:38:11.009463 OTBM2JSON- Current byte: 109, index: 17
2024-07-02T21:38:11.009494 OTBM2JSON- Current byte: 101, index: 18
2024-07-02T21:38:11.009527 OTBM2JSON- Current byte: 114, index: 19
2024-07-02T21:38:11.009558 OTBM2JSON- Current byte: 101, index: 20
2024-07-02T21:38:11.009590 OTBM2JSON- Current byte: 39, index: 21
2024-07-02T21:38:11.009623 OTBM2JSON- Current byte: 115, index: 22
2024-07-02T21:38:11.009655 OTBM2JSON- Current byte: 32, index: 23
2024-07-02T21:38:11.009686 OTBM2JSON- Current byte: 77, index: 24
2024-07-02T21:38:11.009718 OTBM2JSON- Current byte: 97, index: 25
2024-07-02T21:38:11.009750 OTBM2JSON- Current byte: 112, index: 26
2024-07-02T21:38:11.009782 OTBM2JSON- Current byte: 32, index: 27
2024-07-02T21:38:11.009813 OTBM2JSON- Current byte: 69, index: 28
2024-07-02T21:38:11.009845 OTBM2JSON- Current byte: 100, index: 29
2024-07-02T21:38:11.009877 OTBM2JSON- Current byte: 105, index: 30
2024-07-02T21:38:11.009909 OTBM2JSON- Current byte: 116, index: 31
2024-07-02T21:38:11.009940 OTBM2JSON- Current byte: 111, index: 32
2024-07-02T21:38:11.009973 OTBM2JSON- Current byte: 114, index: 33
2024-07-02T21:38:11.010005 OTBM2JSON- Current byte: 32, index: 34
2024-07-02T21:38:11.010037 OTBM2JSON- Current byte: 51, index: 35
2024-07-02T21:38:11.010090 OTBM2JSON- Current byte: 46, index: 36
2024-07-02T21:38:11.010130 OTBM2JSON- Current byte: 53, index: 37
2024-07-02T21:38:11.010163 OTBM2JSON- Current byte: 1, index: 38
2024-07-02T21:38:11.010195 OTBM2JSON- Current byte: 29, index: 39
2024-07-02T21:38:11.010227 OTBM2JSON- Current byte: 0, index: 40
2024-07-02T21:38:11.010259 OTBM2JSON- Current byte: 78, index: 41
2024-07-02T21:38:11.010290 OTBM2JSON- Current byte: 111, index: 42
2024-07-02T21:38:11.010322 OTBM2JSON- Current byte: 32, index: 43
2024-07-02T21:38:11.010353 OTBM2JSON- Current byte: 109, index: 44
2024-07-02T21:38:11.010385 OTBM2JSON- Current byte: 97, index: 45
2024-07-02T21:38:11.010417 OTBM2JSON- Current byte: 112, index: 46
2024-07-02T21:38:11.010449 OTBM2JSON- Current byte: 32, index: 47
